FileTest	CH_BT	CH_CCHV	CH_CG	CH_CNGM	CH_CP	CH_DD	CH_DL	CH_DLMC	CH_DPPC	CH_DTBT	CH_DTTD	CH_DTTK	CH_DTTN	CH_DX	CH_DXN	CH_LL	CH_LNC	CH_NTQT	CH_QG	CH_QM	CH_QTVD	CH_SLC	CH_SQC	CH_TV	CH_XX	
CH_DTTD	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.50 	0.00 	0.00 	
CH_DTTK	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	1.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	
CH_DTTN	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.75 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	
CH_DX	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.50 	0.00 	0.25 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	
CH_DXN	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.50 	0.00 	0.25 	0.00 	0.00 	0.00 	0.00 	
CH_LL	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.25 	0.75 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	
CH_LNC	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	1.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	
CH_NTQT	0.00 	0.00 	0.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	
CH_QG	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.25 	0.50 	0.00 	0.00 	0.00 	0.00 	0.00 	
CH_QM	0.00 	0.00 	0.00 	0.00 	0.00 	0.25 	0.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	0.00 	
CH_QTVD	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	1.00 	0.00 	0.00 	0.00 	0.00 	
CH_SLC	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.50 	0.00 	0.00 	0.00 	0.25 	
CH_SQC	0.25 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.50 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	
CH_TV	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.50 	0.00 	0.00 	0.00 	0.00 	
CH_XX	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.75 	
